"One of these species is the arrow cichlid ( "" Amphilophus zaliosus "" ) , described in 1976 ."	cichlid	In addition to the Cat and the scolding fish , other Dr. Seuss characters are alluded to .	fish	1
In the summer these huts are connected by boat and in winter by ski or snowmobile .	snowmobile	The locomotive complex is a good example of a distant country facility with a rare surviving Institute building and office .	building	0
The Kawiti glowworm caves at nearby Waiomio are also an attraction .	glowworm	A typical shrike 's beak is hooked , like a bird of prey .	bird	0
"She carried a two-seater Yokosuka E14Y reconnaissance floatplane , known to the Allies as "" Glen "" ."	floatplane	Bell Telephone Building ( Montreal ) The Bell Telephone Building ( ) is a neoclassical office building in Montreal , Quebec , Canada .	building	0
The sheepshead , scup , and red seabream are species in this family .	sheepshead	In the jawless fish ( lampreys and hagfish ) , true lymphoid organs are absent .	fish	1
Older residents of The Rocks recalled their business and their services as either an interpreter or guesthouse was employed by the government .	guesthouse	De Zavala was adamant that the long barracks was part of the original building and where the major part of the battle had occurred .	building	1
One of the chief roles of the sergeant at arms is to hold the gavel used at every session .	gavel	The hybrid version started at million ( around ) , the lowest price for a gasoline-hybrid electric vehicle sold in Japan .	vehicle	0
The iris lorikeet is usually found in small flocks .	lorikeet	Order : PasseriformesFamily : Prunellidae The accentors are in the only bird family , Prunellidae , which is completely endemic to the Palearctic .	bird	1
It may move with a hydraulic jack on machines designed for steel plate , or a jackscrew on machines designed for sheet metals .	jackscrew	The tool also performs code base snapshots comparisons , and validation of architectural and quality rules .	tool	1
It is a medium to large katydid with a green body .	katydid	Order : PasseriformesFamily : Prunellidae The accentors are in the only bird family , Prunellidae , which is completely endemic to the Palearctic .	bird	0
Larval gulf menhaden feed primary on zooplankton because the rakers are not well developed .	menhaden	Boats can be hired from 8.30 am and the most common species of fish are trout .	fish	1
The thick ganoid scales of the gars are more primitive than those of the bowfin .	bowfin	The city is mentioned in the Guinness Book of World Records for preparing the largest seafood-filled fish in the world .	fish	1
"The spotted-wing drosophila , "" Drosophila suzukii "" , is a serious pest of blackberries ."	drosophila	Pseudoclitarchus Pseudoclitarchus sentus is the sole representative of the genus Pseudoclitarchus , and is a stick insect endemic to the Three Kings Islands .	insect	1
She wields a scythe made of grain , which acts as both a walking stick and weapon .	scythe	"Three months later , the second vehicle , named "" Resolution "" , was also completed ; it was promptly sold to the United States Navy ."	vehicle	0
"Blyth 's kingfisher Blyth 's kingfisher ( "" Alcedo hercules "" ) is the largest kingfisher in the genus "" Alcedo "" ."	kingfisher	The albatrosses feed pelagically on fish , cephalopods and crustaceans .	fish	0
One Fairmont is in the open shelter shed , the other in the enclosed toolshed .	toolshed	In February 2014 , Houzz launched Site Designer , a free website building and publishing tool for home professionals .	tool	0
Despite the Game Commission 's efforts to control the warm water species , their population continued to proliferate while the salmonid species declined .	salmonid	It can infect mammals that eat raw fish in North America .	fish	1
Fishing of saury is facilitated by their attraction to light .	saury	In most aquarium tanks , the fish are at high concentrations and the volume of water is limited .	fish	1
By the early 1990s , the wide-body twinjet had become its manufacturer 's annual best-selling aircraft , despite a slight decrease due to economic recession .	twinjet	On 17 July 1964 , Campbell set a record of for a four-wheeled vehicle ( Class A ) .	vehicle	1
"In such cases , the only feasible solution may be to write a screen scraper which "" pretends "" to be a user at a terminal ."	scraper	Officer 's tool The Officer 's tool ( or A tool ) is forcible entry tool used by firefighters .	tool	1
The torpedo scad has not been included in any later genetic phylogenetic studies of the Carangidae .	scad	Many groupers are important food fish , and some of them are now farmed .	fish	1
Bethel Ashram has various branches in Kerala at Trichur , Melukavu , Fern Hill bethel at Trivandrum and Kallada , which is near Kollam .	bethel	The cost of electronic devices in a modern locomotive can be up to 50 % of the cost of the vehicle .	vehicle	0
Balao halfbeak have blue-gray skin on their backs , while their undersides are silver or white .	halfbeak	It has driven the endemic orange-finned mahseer to near-extinction and is now the most abundant large fish in the river basin .	fish	1
Fisherman love it for walleyes and northern pikes along with largemouth and smallmouth bass .	largemouth	Both groups are medium to large coastal seabirds that plunge-dive for fish .	fish	1
They have short legs and sit very upright when perched , like a shrike .	shrike	List of birds of Poland This is a list of the bird species recorded in Poland .	bird	1
The provost had responsibility for the administration of the lands owned by the minster and for the general revenues of the chapter .	minster	This sum enabled the association to set up a winery and the building is still used today by the Hohenpolding volunteer fire service as a clubhouse .	building	1
"Fossil remains of the Jamaican flightless ibis ( "" Xenicibis xympithecus "" ) and the Jamaican caracara ( "" Caracara tellustris "" ) have also been found there ."	caracara	A typical shrike 's beak is hooked , like a bird of prey .	bird	1
On average , female weka lay three creamy or pinkish eggs blotched with brown and mauve .	weka	List of birds of Greenland This is a list of the bird species recorded in Greenland .	bird	1
Once dominance is established , the cockerel will rarely waltz again .	cockerel	"The second miraculous catch of fish is also called the "" miraculous catch of 153 fish , "" and seems to recall the first catch ."	fish	0
The Turks and Caicos Islands are best known for ripsaw music .	ripsaw	The control system for the Army Field Material Handling Robot ( FMR ) was also implemented in RCS-2 , as was the Army TMAP semi-autonomous land vehicle project .	vehicle	0
Investigators subsequently determined that one of the jetliner 's passengers , Thomas G. Doty , detonated a bomb inside the Boeing 707 in a suicide-for-insurance plot .	jetliner	During this period the Hilo Chamber of Commerce used the second floor of the building .	building	0
This sanctuary is one of the two great Indian bustard sanctuaries in Gujarat ; the other one is in Jamnagar .	bustard	Order : PasseriformesFamily : Prunellidae The accentors are in the only bird family , Prunellidae , which is completely endemic to the Palearctic .	bird	1
